用户ID,用户昵称,内容ID,内容名称,是否UGC精选,内容导出用户数,质量标签等级,发布时间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9031624348671126598,奶油困了,195949974,公考机构招生宣传手机海报,true,64,false,2026/2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9022998713198988352,HyunA,195953804,小红书家电避坑指南封面通用,true,28,false,2026/2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9019655476248586246,西柚,195961013,春日踏青出游节日活动公众号首图,true,19,false,2026/2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9021447828547850276,BIBI碧碧??,195965175,企业求职招聘宣传小红书封面,true,15,false,2026/2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9035226741785873414,大大大林子,195965771,职场招聘入职毕业生offer生活爆款吸睛大字小红书封面,true,38,false,2026/2/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9019655476248586246,西柚,195966151,金融贷款车抵贷营销宣传创意大字风格小红书封面,true,6,false,2026/2/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9023539660974476348,dy,195972816,通用会员无门槛优惠券促销活动商品主图,true,1,false,2026/2/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9018760653499672630,星火创艺,195974144,淡蓝色3D金融理财财经报道今日新闻微信公众号封面,true,70,false,2026/2/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9018760653499672630,星火创艺,195974545,蓝色金融贷款投资理财手绘插画手机海报,true,4,false,2026/2/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9034410418984701975,GD846701251,195995947,全屋定制装修工厂宣传小红书封面,true,146,false,2026/2/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9029770584837410843,吉由,195999952,三八妇女节节日营销全屏海报,true,28,false,2026/3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
